exclusion_id,course_code,excluded_course,note
2,AFSC03H3,IDSC03H3,
3,AFSC19H3,IDSC19H3,
4,AFSC52H3,HISC52H3,
5,AFSC52H3,VPHC52H3,
6,AFSC55H3,HISC55H3,
7,AFSC70H3,HISC70H3,
8,AFSD07H3,IDSD07H3,
9,AFSD16H3,IDSD16H3,
10,AFSD20H3,IDSD20H3,
11,AFSD51H3,HISD51H3,
12,AFSD52H3,HISD52H3,
13,AFSD53H3,GASD53H3,
14,AFSD53H3,HISD53H3,
17,ANTB15H3,HLTB20H3,
21,ANTB35H3,MDSB28H3,
23,ANTB42H3,GASB42H3,
29,ANTC22H3,ANTC88H3,
33,ANTC53H3,MDSC36H3,
35,ANTC58H3,CLAC68H3,
36,ANTC58H3,HISC68H3,
39,ANTC59H3,MDSC21H3,
40,ANTC65H3,ANTC69H3,
45,ANTD71H3,HISD71H3,
46,ANTD71H3,ANTB64H3,
47,ANTD71H3,ANTC70H3,
48,ANTD99H3,ANTD13H3,
49,ANTD99H3,ANTC99H3,
61,BIOB33H3,HLTB33H3,
62,BIOB33H3,PMDB33H3,
64,BIOB35H3,BIOC32H3,
65,BIOB35H3,BIOC34H3,
67,BIOC10H3,BIOC12H3,
68,BIOC12H3,CHMB62H3,
69,BIOC12H3,CHMB42H3,
70,BIOC13H3,CHMB62H3,
99,CHMA11H3,CHMA12H3,
100,CHMA11H3,MATA29H3,
101,CHMA11H3,MATA30H3,
102,CHMB16H3,STAB22H3,
103,CHMB20H3,CHMB23H3,
104,CHMB21H3,MATA23H3,
105,CHMB23H3,CHMB20H3,
109,CHMB43Y3,CHMB41H3,
110,CHMB43Y3,CHMB42H3,
112,CHMB62H3,BIOC12H3,
113,CHMB62H3,BIOC13H3,
114,CHMC11H3,CHMB20H3,
115,CHMC11H3,CHMB21H3,
122,CHMC71H3,BIOC12H3,
123,CHMC71H3,CHMB62H3,
127,CHMD69H3,CHMC31Y3,
128,CHMD90Y3,CHMD91H3,
129,CHMD90Y3,CHMD92H3,
130,CHMD91H3,CHMD90Y3,
131,CHMD91H3,CHMD92H3,
132,CHMD92H3,CHMD90Y3,
133,CHMD92H3,CHMD91H3,
135,CITC07H3,CITC10H3,
137,CITC54H3,GGRC54H3,
138,CITC54H3,CITB07H3,
141,CITD12H3,CITD10H3,
143,CLAC05H3,HISC10H3,
145,CLAC22H3,CLAA05H3,
146,CLAC22H3,CLAA06H3,
147,CLAC24H3,HISC11H3,
148,CLAC24H3,CLAB05H3,
149,CLAC24H3,CLAB06H3,
150,CLAC26H3,HISC16H3,
151,CLAC67H3,HISC67H3,
152,CLAC68H3,ANTC58H3,
153,CLAC68H3,HISC68H3,
154,CLAC94H3,HISC94H3,
155,CLAD05H3,HISD10H3,
156,CLAD05H3,CLAB05H3,
157,CLAD05H3,CLAB06H3,
158,CLAD69H3,HISD69H3,
159,CLAD69H3,CLAB06H3,
160,CLAD69H3,HISB11H3,
161,CLAD69H3,CLAB09H3,
162,CLAD69H3,HISB09H3,
163,COPB10Y3,COPB11H3,
164,COPB10Y3,COPB12H3,
165,COPB10Y3,COPB13H3,
166,COPB10Y3,COPB14H3,
169,COPB11H3,COPB10Y3,
172,COPB12H3,COPB10Y3,
175,COPB13H3,COPB10Y3,
178,COPB14H3,COPB10Y3,
182,COPB31H3,COPB30H3,
183,COPB33H3,COPB31H3,
184,COPB50H3,COPB10Y3,
188,COPC01H3,COPC03H3,
189,COPC01H3,COPC05H3,
196,COPC02H3,COPC01H3,
197,COPC02H3,COPC03H3,
198,COPC02H3,COPC05H3,
205,COPC03H3,COPC01H3,
206,COPC03H3,COPC05H3,
213,COPC04H3,COPC01H3,
214,COPC04H3,COPC03H3,
215,COPC04H3,COPC05H3,
222,COPC05H3,COPC01H3,
223,COPC05H3,COPC03H3,
232,CRTC72H3,VPHC72H3,
235,CSCA08H3,CSCA20H3,
236,CSCA08H3,CSCA08H3,
237,CSCA08H3,CSCA48H3,
241,CSCA67H3,CSCA08H3,
242,CSCA67H3,CSCA20H3,
245,CSCB20H3,CSCA08H3,
246,CSCB20H3,CSCA20H3,
255,CSCC11H3,CSCC37H3,
264,CSCC85H3,CSCB07H3,
268,CSCD27H3,CSCC69H3,
277,CTLB03H3,FREC10H3,
278,CTLB03H3,HCSC01H3,
291,EESC22H3,EESB20H3,
292,EESC26H3,EESB15H3,
293,EESC26H3,EESB26H3,
296,EESC34H3,ESTC34H3,
298,EESC36H3,EESB15H3,
300,EESC38H3,ESTC38H3,
301,EESD09H3,EESD10Y3,
302,EESD09H3,PSCB90H3,
303,EESD09H3,EESC24H3,
304,EESD10Y3,EESD09H3,
305,EESD10Y3,PSCB90H3,
306,EESD10Y3,EESC24H3,
307,EESD13H3,EESA10H3,
308,EESD13H3,EESA11H3,
309,EESD13H3,EESC13H3,
310,EESD16H3,ESTD16H3,
311,EESD17Y3,ESTD17Y3,
312,EESD18H3,ESTD18H3,
320,ENGB01H3,ENGA01H3,
321,ENGB01H3,ENGA02H3,
324,ENGC03H3,ENGA01H3,
325,ENGC03H3,ENGA02H3,
326,ENGC07H3,ENGA01H3,
327,ENGC07H3,ENGA02H3,
328,ENGC09H3,ENGA01H3,
329,ENGC09H3,ENGA02H3,
330,ENGC10H3,ENGA01H3,
331,ENGC10H3,ENGA02H3,
332,ENGC10H3,ENGB27H3,
333,ENGC10H3,ENGB32H3,
334,ENGC10H3,ENGB33H3,
336,ENGC11H3,ENGA01H3,
337,ENGC11H3,ENGA02H3,
338,ENGC15H3,ENGA01H3,
339,ENGC15H3,ENGA02H3,
341,ENGC16H3,ENGA01H3,
342,ENGC16H3,ENGA02H3,
344,ENGC17H3,ENGA01H3,
345,ENGC17H3,ENGA02H3,
346,ENGC18H3,ENGA01H3,
347,ENGC18H3,ENGA02H3,
348,ENGC19H3,ENGA01H3,
349,ENGC19H3,ENGA02H3,
350,ENGC21H3,ENGA01H3,
351,ENGC21H3,ENGA02H3,
352,ENGC22H3,ENGA01H3,
353,ENGC22H3,ENGA02H3,
354,ENGC23H3,ENGA01H3,
355,ENGC23H3,ENGA02H3,
357,ENGC29H3,ENGA01H3,
358,ENGC29H3,ENGA02H3,
359,ENGC29H3,ENGB27H3,
360,ENGC30H3,ENGA01H3,
361,ENGC30H3,ENGA02H3,
362,ENGC30H3,ENGB27H3,
363,ENGC33H3,ENGA01H3,
364,ENGC33H3,ENGA02H3,
365,ENGC33H3,ENGB27H3,
366,ENGC36H3,ENGA01H3,
367,ENGC36H3,ENGA02H3,
368,ENGC38H3,ENGA01H3,
369,ENGC38H3,ENGA02H3,
370,ENGC39H3,ENGA01H3,
371,ENGC39H3,ENGA02H3,
372,ENGC42H3,ENGA01H3,
373,ENGC42H3,ENGA02H3,
376,ENGC48H3,ENGA01H3,
377,ENGC48H3,ENGA02H3,
378,ENGC50H3,ENGA01H3,
379,ENGC50H3,ENGA02H3,
381,ENGC54H3,ENGA01H3,
382,ENGC54H3,ENGA02H3,
383,ENGC90H3,CLAC01H3,
385,ENGC90H3,ENGC60H3,
386,ENGC90H3,ENGC61H3,
387,ENGC90H3,ENGA01H3,
388,ENGC90H3,ENGA02H3,
390,ENGD05H3,ENGB06H3,
391,ENGD05H3,ENGB01H3,
399,ESTC34H3,EESC34H3,
401,ESTC38H3,EESC38H3,
402,ESTD16H3,EESD16H3,
403,ESTD17Y3,EESD17Y3,
404,ESTD18H3,EESD18H3,
406,FLMC44H3,ENGA01H3,
407,FLMC44H3,ENGA02H3,
408,FLMC44H3,FLMA70H3,
410,FLMC55H3,FLMB71H3,
411,FLMC55H3,ENGA02H3,
413,FLMC56H3,ENGA01H3,
414,FLMC56H3,ENGA02H3,
415,FLMC56H3,FLMA70H3,
418,FLMC75H3,ENGA01H3,
419,FLMC75H3,ENGA02H3,
421,FLMC78H3,ENGA01H3,
422,FLMC78H3,ENGA02H3,
423,FLMC78H3,FLMA70H3,
426,FLMC82H3,ENGA01H3,
427,FLMC82H3,ENGA02H3,
428,FLMC82H3,FLMA70H3,
431,FLMC83H3,ENGA01H3,
432,FLMC83H3,ENGA02H3,
433,FLMC83H3,FLMA70H3,
436,FLMC84H3,ENGA01H3,
437,FLMC84H3,ENGA02H3,
439,FLMC92H3,ENGA01H3,
440,FLMC92H3,ENGA02H3,
443,FLMC94H3,FLMA70H3,
446,FLMC95H3,ENGA10H3,
447,FLMC95H3,ENGA11H3,
448,FLMC95H3,ENGB19H3,
449,FLMC95H3,FLMA70H3,
451,FLMC95H3,FLMB77H3,
461,FREA91Y3,FREA98H3,
462,FREA91Y3,FREA99H3,
467,FREA99H3,FREA01H3,
470,FREB08H3,FREB08H3,
471,FREB08H3,FREC18H3,
472,FREB17H3,FREC01H3,
473,FREB17H3,FREC02H3,
474,FREB17H3,FRED01H3,
475,FREB17H3,FRED06H3,
491,FREC10H3,CTLB03H3,
493,FREC18H3,FREC18H3,
495,FREC44H3,LINC12H3,
496,FREC46H3,LINC11H3,
497,FREC47H3,LINC47H3,
498,FREC48H3,LINB20H3,
507,FSTC24H3,WSTC24H3,
508,FSTC29H3,HISC29H3,
510,FSTC43H3,GGRC41H3,
511,FSTC43H3,GGRC43H3,
515,FSTD12H3,FSTA01H3,
516,FSTD12H3,FSTA02H3,
517,FSTD12H3,FSTB01H3,
518,GASB05H3,MDSB32H3,
520,GASB42H3,ANTB42H3,
523,GASB58H3,HISB58H3,
524,GASB73H3,VPHB73H3,
525,GASC40H3,MDSC32H3,
527,GASC41H3,MDSC14H3,
529,GASC50H3,HISC56H3,
530,GASC50H3,GASB58H3,
531,GASC50H3,HISB58H3,
532,GASC51H3,HISC51H3,
533,GASC51H3,GASA01H3,
534,GASC51H3,HISA06H3,
535,GASC51H3,GASA02H3,
536,GASC53H3,VPHC53H3,
537,GASC57H3,HISC57H3,
538,GASC57H3,GASB58H3,
539,GASC57H3,HISB58H3,
540,GASC59H3,HISC59H3,
542,GASC59H3,HISB54H3,
543,GASC59H3,GASB57H3,
544,GASC59H3,HISB57H3,
545,GASC73H3,HISC73H3,
546,GASC74H3,VPHC74H3,
547,GASD01H3,HISD09H3,
548,GASD06H3,HISD06H3,
549,GASD30H3,WSTD30H3,
550,GASD53H3,AFSD53H3,
551,GASD53H3,HISD53H3,
552,GASD55H3,HISD55H3,
553,GASD56H3,HISD56H3,
554,GASD58H3,HISD58H3,
555,GASD58H3,GASB58H3,
556,GASD58H3,HISB58H3,
557,GASD58H3,GASC57H3,
558,GASD58H3,HISC57H3,
559,GASD59H3,HISD59H3,
560,GASD59H3,GASB58H3,
561,GASD59H3,HISB58H3,
562,GASD59H3,GASC57H3,
563,GASD59H3,HISC57H3,
565,GGRB18H3,ESTB02H3,
567,GGRC02H3,CITA01H3,
569,GGRC02H3,GGRB02H3,
570,GGRC12H3,GGRB30H3,
575,GGRC40H3,CITA01H3,
577,GGRC40H3,GGRB05H3,
578,GGRC42H3,GGRC41H3,
579,GGRC43H3,FSTC43H3,
580,GGRC43H3,GGRC41H3,
582,GGRC44H3,GGRB21H3,
583,GGRC44H3,IDSB02H3,
584,GGRC44H3,ESTB01H3,
585,GGRD16H3,SOCB54H3,
586,GGRD16H3,GGRD25H3,
589,GGRD49H3,GGRB13H3,
590,GGRD49H3,GGRB21H3,
591,GGRD49H3,IDSA01H3,
592,HCSC01H3,CTLB03H3,
593,HCSC01H3,WSTC23H3,
594,HISB22H3,WSTB22H3,
595,HISB22H3,WSTA01H3,
596,HISB22H3,WSTA03H3,
597,HISB58H3,GASB58H3,
598,HISC03H3,HISD03H3,
600,HISC07H3,HISC06H3,
602,HISC10H3,CLAC05H3,
604,HISC11H3,CLAC24H3,
605,HISC11H3,CLAB05H3,
606,HISC11H3,CLAB06H3,
607,HISC16H3,CLAC26H3,
610,HISC46H3,HISB40H3,
611,HISC46H3,HISB41H3,
612,HISC51H3,GASC51H3,
613,HISC51H3,GASA01H3,
614,HISC51H3,HISA06H3,
615,HISC51H3,GASA02H3,
616,HISC52H3,AFSC52H3,
617,HISC52H3,VPHC52H3,
618,HISC55H3,AFSC55H3,
619,HISC56H3,GASC50H3,
620,HISC56H3,GASB58H3,
621,HISC56H3,HISB58H3,
622,HISC57H3,GASC57H3,
623,HISC57H3,GASB58H3,
624,HISC57H3,HISB58H3,
625,HISC59H3,GASC59H3,
626,HISC59H3,HISB54H3,
628,HISC59H3,GASB57H3,
629,HISC59H3,HISB57H3,
631,HISC60H3,HISB62H3,
632,HISC66H3,WSTC66H3,
633,HISC67H3,CLAC67H3,
634,HISC68H3,ANTC58H3,
635,HISC68H3,CLAC68H3,
636,HISC70H3,AFSC70H3,
637,HISC73H3,GASC73H3,
639,HISC94H3,CLAC94H3,
641,HISD06H3,GASD06H3,
643,HISD07H3,HISB02H3,
644,HISD07H3,HISB03H3,
645,HISD07H3,WSTB06H3,
646,HISD09H3,GASD01H3,
647,HISD10H3,CLAD05H3,
648,HISD10H3,CLAB05H3,
649,HISD10H3,CLAB06H3,
650,HISD16H3,WSTD16H3,
651,HISD25H3,WSTC02H3,
652,HISD25H3,CITC10H3,
654,HISD25H3,WSTD10H3,
655,HISD25H3,HISD44H3,
656,HISD46H3,WSTD46H3,
657,HISD46H3,HISB02H3,
658,HISD46H3,HISB03H3,
660,HISD46H3,WSTB06H3,
661,HISD46H3,HISB50H3,
662,HISD46H3,GASB57H3,
663,HISD46H3,HISB57H3,
664,HISD46H3,HISC09H3,
665,HISD46H3,HISC29H3,
666,HISD51H3,AFSD51H3,
667,HISD52H3,AFSD52H3,
668,HISD53H3,AFSD53H3,
669,HISD53H3,GASD53H3,
670,HISD55H3,GASD55H3,
671,HISD56H3,GASD56H3,
672,HISD58H3,GASD58H3,
673,HISD58H3,GASB58H3,
674,HISD58H3,HISB58H3,
675,HISD58H3,GASC57H3,
676,HISD58H3,HISC57H3,
677,HISD59H3,GASD59H3,
678,HISD59H3,GASB58H3,
679,HISD59H3,HISB58H3,
680,HISD59H3,GASC57H3,
681,HISD59H3,HISC57H3,
682,HISD69H3,CLAD69H3,
683,HISD69H3,CLAB06H3,
684,HISD69H3,HISB11H3,
685,HISD69H3,CLAB09H3,
686,HISD69H3,HISB09H3,
687,HISD71H3,ANTD71H3,
688,HISD71H3,ANTB64H3,
689,HISD71H3,ANTC70H3,
691,HLTB11H3,BIOA01H3,
692,HLTB11H3,BIOA11H3,
694,HLTB20H3,ANTB15H3,
695,HLTB33H3,BIOB33H3,
696,HLTB33H3,PMDB33H3,
705,HLTC26H3,HLTC28H3,
706,HLTC27H3,ANTC67H3,
707,HLTC30H3,HLTB44H3,
710,HLTC49H3,SOCC49H3,
711,HLTC51H3,SOCC51H3,
712,HLTD07H3,HLTD47H3,
713,HLTD11H3,SOCD11H3,
714,HLTD18H3,ANTC47H3,
715,HLTD18H3,ANTC48H3,
716,HLTD18H3,BIOB33H3,
717,HLTD26H3,HLTD12H3,
718,HLTD27H3,HLTD22H3,
719,HLTD28H3,HLTC47H3,
720,HLTD28H3,HLTD04H3,
721,HLTD54H3,HLTD50H3,
724,IDSC03H3,AFSC03H3,
726,IDSC13H3,IDSC10H3,
727,IDSC13H3,POLC90H3,
728,IDSC13H3,POLB91H3,
730,IDSC19H3,AFSC19H3,
731,IDSD07H3,AFSD07H3,
732,IDSD08H3,IDSD10H3,
733,IDSD16H3,AFSD16H3,
734,IDSD20H3,AFSD20H3,
735,IDSD90H3,POLD90H3,
742,JOUC60H3,MDSC34H3,
744,JOUC62H3,MDSC37H3,
746,JOUC80H3,MDSC25H3,
750,LGGA61H3,LGGA60H3,
754,LGGA65H3,LGGB60H3,
755,LGGA65H3,LGGB61H3,
756,LGGA65H3,LGGB62H3,
757,LGGA65H3,LGGB63H3,
758,LGGA65H3,LGGC60H3,
759,LGGA65H3,LGGC61H3,
760,LGGA71H3,LGGA72Y3,
761,LGGA71H3,LGGA70H3,
762,LGGA75H3,LGGA76Y3,
763,LGGA75H3,LGGA74H3,
764,LGGA81H3,LGGA82Y3,
766,LGGB61H3,LGGB60H3,
767,LGGB61H3,LGGA64H3,
770,LGGB63H3,LGGB62H3,
773,LGGC60H3,LGGC61H3,
774,LGGC61H3,LGGC62H3,
785,LINB19H3,CSCA20H3,
786,LINB19H3,PSYC03H3,
789,LINB20H3,FREC48H3,
791,LINB29H3,PSYB07H3,
792,LINB29H3,STAB23H3,
793,LINB29H3,LINB19H3,
794,LINB30H3,LINB19H3,
795,LINB30H3,CSCA08H3,
796,LINB30H3,CSCA48H3,
797,LINB30H3,CSCA20H3,
798,LINB60H3,LGGA60H3,
799,LINB60H3,LGGA61H3,
802,LINB98H3,PSYB90H3,
805,LINC11H3,FREC46H3,
807,LINC12H3,FREC44H3,
809,LINC28H3,WSTC28H3,
810,LINC29H3,PSYC09H3,
811,LINC29H3,MGEC11H3,
813,LINC47H3,FREC47H3,
819,LIND46H3,LINC02H3,
820,LIND46H3,LINC11H3,
821,MATA22H3,MATA23H3,
822,MATA23H3,MATA22H3,
825,MATA29H3,MATA30H3,
826,MATA29H3,MATA31H3,
828,MATA29H3,MATA34H3,
831,MATA30H3,MATA29H3,
832,MATA30H3,MATA31H3,
834,MATA30H3,MATA34H3,
837,MATA31H3,MATA29H3,
838,MATA31H3,MATA30H3,
840,MATA31H3,MATA34H3,
841,MATA34H3,MATA29H3,
842,MATA34H3,MATA30H3,
843,MATA34H3,MATA31H3,
845,MATA34H3,MATA35H3,
846,MATA34H3,MATA36H3,
847,MATA34H3,MATA37H3,
850,MATA35H3,MATA34H3,
851,MATA35H3,MATA36H3,
852,MATA35H3,MATA37H3,
855,MATA36H3,MATA35H3,
856,MATA36H3,MATA37H3,
859,MATA37H3,MATA35H3,
860,MATA37H3,MATA36H3,
872,MATC37H3,MATC27H3,
879,MATD01H3,MATC34H3,
893,MDSB28H3,ANTB35H3,
897,MDSB32H3,GASB05H3,
903,MDSC14H3,GASC41H3,
907,MDSC21H3,ANTC59H3,
910,MDSC25H3,JOUC80H3,
912,MDSC32H3,GASC40H3,
915,MDSC34H3,JOUC60H3,
917,MDSC36H3,ANTC53H3,
919,MDSC37H3,JOUC62H3,
921,MDSC85H3,MUZC20H3,
923,MGAB02H3,VPAB13H3,
924,MGAB03H3,VPAB13H3,
928,MGAC50H3,MGAC01H3,
932,MGEB01H3,MGEB02H3,
933,MGEB02H3,MGEB01H3,
934,MGEB05H3,MGEB06H3,
935,MGEB06H3,MGEB05H3,
937,MGEB11H3,PSYB07H3,
939,MGEB11H3,STAB22H3,
940,MGEB11H3,STAB23H3,
941,MGEB11H3,STAB52H3,
942,MGEB11H3,STAB53H3,
943,MGEB11H3,STAB57H3,
944,MGEB12H3,STAB27H3,
945,MGEB12H3,STAC67H3,
946,MGEC02H3,MGEC92H3,
948,MGEC08H3,MGEC41H3,
949,MGEC08H3,MGEC92H3,
950,MGEC08H3,MGEC93H3,
951,MGEC11H3,MGEC11H3,
952,MGEC11H3,STAC67H3,
953,MGEC31H3,MGEC91H3,
954,MGEC32H3,MGEC91H3,
959,MGEC41H3,MGEC08H3,
960,MGEC41H3,MGEC92H3,
966,MGEC62H3,MGEC93H3,
971,MGEC91H3,MGEC31H3,
972,MGEC91H3,MGEC32H3,
973,MGEC92H3,MGEC02H3,
974,MGEC92H3,MGEC08H3,
975,MGEC92H3,MGEC41H3,
976,MGEC93H3,MGEC08H3,
977,MGEC93H3,MGEC62H3,
991,MGFD25H3,CSCA20H3,
997,MGHB02H3,MGIB02H3,
998,MGHC02H3,MGIC02H3,
999,MGIA01H3,MGMA01H3,
1000,MGIB01H3,MGMB01H3,
1001,MGIC01H3,MGSC01H3,
1002,MGIC02H3,MGHC02H3,
1003,MGID79H3,MGSD01H3,
1004,MGMA01H3,MGIA01H3,
1005,MGMB01H3,MGIB01H3,
1009,MGMD02H3,PSYC10H3,
1010,MGMD19H3,MGMD21H3,
1015,MGSB01H3,MGAB01H3,
1017,MGSC01H3,MGIC01H3,
1018,MGSC01H3,VPAC13H3,
1020,MGSC14H3,PHLB06H3,
1023,MGSD01H3,MGID79H3,
1025,MGSD55H3,MGSD15H3,
1026,MGSD55H3,MGSD91H3,
1028,MGTC28H3,CSCA20H3,
1048,MUZC20H3,MDSC85H3,
1069,NROD61H3,NROD60H3,
1070,NROD61H3,NROC60H3,
1071,PHLB18H3,PHLA10H3,
1072,PHLB18H3,PHLA11H3,
1078,PHLC31H3,PHLB31H3,
1079,PHLC32H3,PHLB31H3,
1084,PHLC51H3,MATC09H3,
1091,PHLD87H3,PHLC95H3,
1093,PHYA10H3,PHYA11H3,
1094,PHYA11H3,PHYA10H3,
1095,PHYA21H3,PHYA22H3,
1096,PHYA22H3,PHYA21H3,
1110,PHYD02Y3,PHYD01H3,
1121,PMDB33H3,BIOB33H3,
1122,POLB30H3,PHLB11H3,
1123,POLB30H3,PHLB11H3,
1124,POLB30H3,POLB30H3,
1125,POLB30H3,PHLB11H3,
1126,POLB30H3,POLB30H3,
1127,POLB40H3,SOCB35H3,
1128,POLB40H3,STAB22H3,
1129,POLB40H3,STAB23H3,
1133,POLB72H3,PHLB17H3,
1142,POLC30H3,POLC32H3,
1143,POLC30H3,POLC36H3,
1164,POLD90H3,IDSD90H3,
1170,PPGD64H3,PPGC67H3,
1180,PSYB51H3,NROC64H3,
1183,PSYB64H3,NROC61H3,
1186,PSYB90H3,LINB98H3,
1189,PSYC09H3,LINC29H3,
1190,PSYC09H3,MGEC11H3,
1191,PSYC10H3,MGMD02H3,
1199,PSYC27H3,PSYB55H3,
1200,PSYC27H3,PSYB64H3,
1210,PSYC53H3,PSYB57H3,
1214,PSYC75H3,PSYC08H3,
1217,PSYD10H3,PSYD15H3,
1218,PSYD13H3,PSYD15H3,
1219,PSYD14H3,PSYD15H3,
1220,PSYD14H3,PSYC08H3,
1222,PSYD16H3,PSYC12H3,
1223,PSYD16H3,PSYC71H3,
1224,PSYD17H3,PSYC13H3,
1225,PSYD17H3,PSYC57H3,
1229,PSYD30H3,PSYC30H3,
1231,PSYD31H3,PSYD33H3,
1235,PSYD51H3,PSYD54H3,
1236,PSYD54H3,PSYD50H3,
1237,PSYD54H3,PSYD51H3,
1238,PSYD55H3,PSYC76H3,
1239,PSYD55H3,PSYC51H3,
1240,PSYD55H3,PSYC52H3,
1241,PSYD55H3,PSYC57H3,
1242,PSYD55H3,PSYC59H3,
1243,PSYD59H3,PSYD50H3,
1244,PSYD59H3,PSYC10H3,
1245,PSYD59H3,PSYC19H3,
1246,PSYD59H3,PSYC50H3,
1247,PSYD59H3,PSYC57H3,
1248,PSYD62H3,NROD60H3,
1255,SOCB05H3,SOCB40H3,
1265,SOCB54H3,GGRD16H3,
1267,SOCC09H3,SOCB22H3,
1268,SOCC09H3,SOCB49H3,
1274,SOCC49H3,HLTC49H3,
1275,SOCC51H3,HLTC51H3,
1278,SOCD11H3,HLTD11H3,
1279,SOCD52H3,SOCD44H3,
1280,STAA57H3,STAB22H3,
1281,STAB27H3,MGEB12H3,
1283,STAB27H3,STAB57H3,
1285,STAB40H3,MGFB10H3,
1286,STAB41H3,MGFC30H3,
1288,STAB52H3,STAB53H3,
1289,STAB52H3,PSYB07H3,
1290,STAB53H3,STAB52H3,
1291,STAB53H3,PSYB07H3,
1292,STAB57H3,MGEB11H3,
1293,STAB57H3,PSYB07H3,
1294,STAB57H3,STAB22H3,
1295,STAB57H3,STAB23H3,
1296,STAC32H3,STAC33H3,
1297,STAC33H3,STAC32H3,
1298,STAC50H3,STAC53H3,
1300,STAC53H3,STAC50H3,
1304,STAC67H3,STAC67H3,
1305,STAC67H3,MGEB12H3,
1306,STAC67H3,MGEB12H3,
1307,STAC67H3,STAC67H3,
1308,STAC67H3,MGEB12H3,
1309,STAC67H3,STAC67H3,
1310,STAC67H3,MGEB12H3,
1312,STAD29H3,STAC32H3,
1313,STAD29H3,STAC53H3,
1314,STAD29H3,STAC51H3,
1327,VPHB40H3,VPSB73H3,
1333,VPHB64H3,VPHB63H3,
1334,VPHB64H3,VPHB74H3,
1335,VPHB73H3,GASB73H3,
1337,VPHB77H3,GASB77H3,
1340,VPHC52H3,AFSC52H3,
1341,VPHC52H3,HISC52H3,
1342,VPHC53H3,GASC53H3,
1343,VPHC68H3,VPHC52H3,
1344,VPHC72H3,CRTC72H3,
1346,VPHC74H3,GASC74H3,
1361,VPSB80H3,VPSB67H3,
1376,WSTB10H3,WSTA01H3,
1377,WSTB10H3,WSTA03H3,
1381,WSTB22H3,HISB22H3,
1382,WSTB22H3,WSTA01H3,
1383,WSTB22H3,WSTA03H3,
1386,WSTC13H3,WSTC30H3,
1387,WSTC13H3,WSTB11H3,
1388,WSTC21H3,WSTA01H3,
1389,WSTC21H3,WSTA03H3,
1390,WSTC23H3,HCSC01H3,
1391,WSTC24H3,FSTC24H3,
1392,WSTC26H3,WSTA03H3,
1393,WSTC26H3,WSTB11H3,
1394,WSTC28H3,LINC28H3,
1396,WSTC66H3,HISC66H3,
1399,WSTC97H3,HISB50H3,
1400,WSTC97H3,AFSB50H3,
1401,WSTC97H3,HISB51H3,
1402,WSTC97H3,AFSB51H3,
1403,WSTC97H3,WSTA01H3,
1404,WSTC97H3,WSTA03H3,
1406,WSTD10H3,HISD25H3,
1407,WSTD10H3,WSTC02H3,
1408,WSTD10H3,HISD44H3,
1409,WSTD10H3,CITC10H3,
1410,WSTD16H3,HISD16H3,
1411,WSTD30H3,GASD30H3,
1412,WSTD46H3,HISD46H3,
1413,WSTD46H3,HISB02H3,
1414,WSTD46H3,HISB03H3,
1416,WSTD46H3,WSTB06H3,
1417,WSTD46H3,HISB50H3,
1418,WSTD46H3,GASB57H3,
1419,WSTD46H3,HISB57H3,
1420,WSTD46H3,HISC09H3,
1421,WSTD46H3,HISC29H3,
