department_id,department_name,faculty,notes
1,Anthropology,University of Toronto Scarborough,Offers a Post-graduate Certificate in Evolutionary Anatomy
2,Arts Culture and Media,University of Toronto Scarborough,Includes multiple discipline areas and joint programs with Centennial College
3,Biological Sciences,University of Toronto Scarborough,Includes research excellence certificate
4,Computer and Mathematical Sciences,University of Toronto Scarborough,Offers double degree programs with Management
5,English,University of Toronto Scarborough,Double degree with Psychology
6,Global Development Studies,University of Toronto Scarborough,Formerly Centre for Critical Development Studies
7,Health and Society,University of Toronto Scarborough,Includes joint Paramedicine program with Centennial College
8,Historical and Cultural Studies,University of Toronto Scarborough,Includes Religion and interdisciplinary areas
9,Human Geography,University of Toronto Scarborough,Includes Diaspora and Transnational Studies
10,Language Studies,University of Toronto Scarborough,Includes translation and psycholinguistics
11,Management,University of Toronto Scarborough,Offers BBA programs certificates and double degrees
12,Philosophy,University of Toronto Scarborough,Includes Biomedical Ethics
13,Physical and Environmental Sciences,University of Toronto Scarborough,Includes environmental chemistry physics and interdisciplinary programs
14,Political Science,University of Toronto Scarborough,Includes Public Policy and Public Law
15,Psychology,University of Toronto Scarborough,Includes Neuroscience and Mental Health programs
16,Sociology,University of Toronto Scarborough,Includes Computational Social Science certificate
17,Centre for Teaching and Learning,University of Toronto Scarborough,Supports teaching-related courses